Date	Price	Open	High	Low
6/14/2021	40500	39004	40732	38812
6/15/2021	40139	40509	40708.8	39726
6/16/2021	38332	40139	40394	38332
6/17/2021	38061	38332	39324	37733.7
6/18/2021	35802	38061	38061	35490
6/19/2021	35585.8	35802	36236	35460
6/20/2021	35631	35585.8	35966	33725
6/21/2021	31761	35631	35631	31475
6/22/2021	32553	31761	33300	29927
6/23/2021	33703	32553	34196	32553
6/24/2021	34656.6	33703	35137.2	32530
6/25/2021	31584	34656.6	34915	31584
6/26/2021	32359	31584.7	32359	30331
6/27/2021	34717	32359	34717	32359
6/28/2021	34484	34717	35168	34152
6/29/2021	35895.9	34484	36411	34316.7
6/30/2021	35043.5	35895.9	35981	34754
7/1/2021	33554.4	35043.5	35043.5	32821
7/2/2021	33816	33554.4	33924	32727
7/3/2021	34758	33816	34762	33561.6
7/4/2021	35289	35494	35782	35289
7/5/2021	33668	35289	35289	33479.2
7/6/2021	34140	33668	34858.8	33668
7/7/2021	33886	34256	35076	33826
7/8/2021	32873.9	33886	33939	32063
7/9/2021	33769	32873.9	34044	32574
7/10/2021	33506	33769	34221	33024
7/11/2021	34239	33506	34584	33317
7/12/2021	33090	34239	34624	32616
7/13/2021	32727	33090	33333	32210
7/14/2021	32822.6	32727	33117	31596
7/15/2021	31857	32822.6	33194	31170
7/16/2021	31429	31875	32266	31055
7/17/2021	31559	31427	31975	31224
7/18/2021	31824	31559	32427	31211.8
7/19/2021	30847	31824	31924	30514
7/20/2021	29806.1	30847	31075	29341
7/21/2021	32141	29806.1	32804	29545
7/22/2021	32320	32141	32609.7	31747
7/23/2021	33597.1	32320	33625.3	32020
7/24/2021	33845	33597.1	34043	33422
7/25/2021	35407	34620	35430	33906
7/26/2021	37296	35422	40515.6	35276
7/27/2021	39563	37296	39563	36436
7/28/2021	40004	39563	40899	38822
7/29/2021	40041	40004	40623	39282
7/30/2021	42169	40034.4	42244	38373
7/31/2021	41409	42169	42317	41051
8/1/2021	39922	41409	42532	39596
8/2/2021	39156	39922	40441	38716
8/3/2021	38207	39156	39774	37700
8/4/2021	39754	38219	39965	37564
8/5/2021	40887	39741	41352	37361
8/6/2021	42830	40887	43294	39933
8/7/2021	44589	42830	44689.2	42464
8/8/2021	43770	44589	45249	43300
8/9/2021	46293	43770	46432.2	42792
8/10/2021	45612	46291	46674	44644
8/11/2021	45546	45612	46725	45358
8/12/2021	44423	45546	46185	43789
8/13/2021	47842	44423	47866	44276
8/14/2021	47084	47842	48120	46036
8/15/2021	47031	47084	47355	45556
8/16/2021	45940	47031	48059	45689
8/17/2021	44698	45940	47157	44467
8/18/2021	44744	44698	46007.8	44290
8/19/2021	46765	44744	47060	43992
8/20/2021	49332	46765	49362	46660
8/21/2021	48868	49332	49784	48290
8/22/2021	49264	48868	49487	48121
8/23/2021	49539	49264	50506.3	49055
8/24/2021	47714	49539	49857	47604
8/25/2021	48989	47714	49244	47158
8/26/2021	46832	48989	49385	46370.7
8/27/2021	49076.1	46832	49159	46364.9
8/28/2021	48914	49076.1	49310	48400
8/29/2021	48800	48914	49650	47844
8/30/2021	47008	48800	48915.7	46904
8/31/2021	47157	47008	48241	46725
9/1/2021	48844	47157	49102	46600
